,Unnamed: 0,지점명,지점번호,교통량합,위도,경도,위도diff,경도diff
30,30,올림픽대로(강일IC),B-10,4240.156834532374,37.569891,127.157292,157,423
31,31,경부고속도로(양재IC),B-11,3916.8609179415857,37.465083,127.038643,52,305
32,32,송파대로(복정역),B-12,1187.9300314465406,37.468796999999995,127.126419,56,392
33,33,밤고개로(세곡동사거리),B-13,864.4527777777777,37.462416,127.107883,49,374
34,34,분당수서로(성남시계),B-14,2080.019444444445,37.471129,127.123078,57,389
35,35,과천대로(남태령역),B-15,1315.6215277777776,37.463288,126.988151,50,254
36,36,양재대로(양재IC),B-16,3082.364077669903,37.460089,127.030175,47,296
37,37,반포대로(우면산터널),B-17,1387.665277777778,37.483905,127.011416,71,277
38,38,시흥대로(석수역),B-18,1629.046594982079,37.437013,126.90281100000001,24,169
39,39,금오로(광명시계),B-19,212.35208333333333,37.482431,126.84189099999999,69,108
40,40,오리로(광명시계),B-20,528.7050209205021,37.482607,126.84310900000001,70,109
41,41,개봉로(개봉교),B-21,500.79513888888886,37.486181,126.8565,73,121
42,42,광명대교(광명시계),B-22,514.3826388888889,37.485044,126.873297,72,139
43,43,철산교(광명시계),B-23,745.4495341614906,37.474933,126.87815400000001,62,144
44,44,금천교(광명시계),B-24,1124.9125,37.465046,126.88424499999999,52,150
45,45,금하로(광명시계),B-25,659.5,37.4514,126.891627,38,158
46,46,오정로(부천시계),B-26,486.31597222222223,37.542778999999996,126.80941100000001,130,75
47,47,화곡로(화곡로입구),B-27,734.4777777777778,37.539227000000004,126.823123,126,88
48,48,경인고속국도(신월IC),B-28,3572.4284722222224,37.524875,126.831933,112,97
49,49,경인로(유한공고),B-29,649.40625,37.488614,126.82278899999999,76,88
50,50,신정로(작동터널),B-30,902.2330960854092,37.506104,126.824602,93,91
51,51,김포대로(개화교),B-31,1030.9097222222224,37.585313,126.795571,172,62
52,52,올림픽대로(개화IC),B-32,3732.254486133768,37.587814,126.812795,175,79
53,53,통일로(고양시계),B-33,1015.462937062937,37.644684999999996,126.91127,232,177
54,54,서오릉로(고양시계),B-34,880.3402777777777,37.617883,126.90626,205,172
55,55,강변북로(난지한강공원),B-36,4998.892655367232,37.570903,126.872321,158,138
56,56,강변북로(구리시계),B-37,2918.8145833333333,37.558389,127.114274,145,380
57,57,행주대교,C-01,2178.3716750539184,37.598121,126.809931,185,76
58,58,가양대교,C-03,2395.6506944444445,37.571567,126.862726,159,129
59,59,성산대교,C-04,3054.2423611111108,37.55268,126.89156399999999,140,158
60,60,양화대교,C-05,2692.299305555556,37.542913,126.90376599999999,130,170
61,61,서강대교,C-06,872.8444444444444,37.537537,126.92534099999999,125,191
62,62,마포대교,C-07,2041.5590277777774,37.533628,126.93651200000001,121,203
63,63,원효대교,C-08,1035.0923611111114,37.526745,126.94513700000002,114,210
64,64,한강대교,C-09,1854.6546863988724,37.518159999999995,126.95947199999999,105,225
65,65,동작대교,C-10,1180.7930555555556,37.509935999999996,126.98181399999999,97,248
66,66,반포대교,C-11,1884.7871853546908,37.514431,126.99666299999998,101,263
67,67,잠수교,C-12,467.6866295264624,37.50826,126.99974399999999,95,266
68,68,한남대교,C-13,3793.6881944444453,37.526946,127.01319,114,279
69,69,동호대교,C-14,1441.2325581395346,37.538207,127.01988200000001,125,286
70,70,성수대교,C-15,2605.63125,37.536768,127.034972,124,301
71,71,영동대교,C-16,2458.348611111111,37.530295,127.05733899999998,117,323
72,72,청담대교,C-17,2575.978472222222,37.525513000000004,127.064067,113,329
73,73,잠실대교,C-18,1930.9208333333331,37.523821000000005,127.09203600000001,111,358
74,74,올림픽대교,C-19,1387.458333333333,37.533789,127.10412,121,370
75,75,천호대교,C-20,1456.6215277777776,37.542673,127.11288300000001,130,379
76,76,광진교,C-21,338.44166666666666,37.54412,127.115274,131,381
77,77,진흥로(구기터널),D-01,856.0819444444444,37.608686,126.955198,196,221
78,78,평창문화로(북악터널),D-02,842.3951388888888,37.611546999999995,126.979308,199,245
79,79,동호로(금호터널),D-03,1245.6749201277955,37.551919,127.012977,139,279
80,80,서빙고로(한남역),D-04,1758.78125,37.527196999999994,127.004697,114,271
81,81,천호대로(군자교),D-05,1612.541666666667,37.560716,127.06857099999999,148,335
82,82,뚝섬로(용비교),D-06,1335.5412587412586,37.542006,127.020674,129,287
83,83,동일로(군자교),D-07,1322.2270833333334,37.553809,127.070504,141,337
84,84,화랑로(상월곡역),D-08,1405.7152777777776,37.603932,127.044044,191,310
85,85,동소문로(길음교사거리),D-09,1139.0973129992738,37.599755,127.021693,187,288
86,86,화랑로(화랑대역),D-10,1389.6819444444445,37.619935999999996,127.08295,207,349
87,87,도봉로(쌍문역),D-11,887.9534722222223,37.645707,127.033171,233,299
88,88,동부간선도로(월계1교),D-12,2463.8777777777773,37.631578999999995,127.063432,219,329
89,89,동일로(노원역),D-13,774.4534722222223,37.652409000000006,127.06103200000001,239,327
90,90,증산로(디지털미디어시티역),D-14,1352.1238425925924,37.579684,126.905124,167,171
91,91,통일로(산골고개정류장),D-15,1381.8006944444446,37.594931,126.940246,182,206
92,92,성산로(연희IC),D-16,1461.42254601227,37.563506,126.9301,151,196
93,93,연희로(연희IC),D-17,726.125,37.566264000000004,126.93053700000002,153,197
94,94,남부순환로(화곡로입구 교차로),D-18,1425.9329421626153,37.540163,126.825453,127,91
95,95,남부순환로(신월IC),D-19,2156.3868055555554,37.524081,126.835862,111,102
96,96,강서로(화곡터널),D-20,710.9125,37.534375,126.84509399999999,121,111
97,97,공항대로(발산역),D-21,975.0465277777777,37.559251,126.831069,146,97
98,98,경인로(오류IC),D-22,950.2645833333332,37.498246,126.851219,85,117
99,99,경인로(거리공원입구교차로),D-23,989.4986111111112,37.506440000000005,126.884382,93,150
100,100,시흥대로(시흥IC),D-24,1557.459722222222,37.477189,126.898532,64,165
101,101,영등포로(오목교),D-25,1115.2354166666667,37.523175,126.883725,110,150
102,102,시흥대로(구로디지털단지역),D-26,1449.7,37.486787,126.90441499999999,74,170
103,103,국회대로(여의2교),D-27,1086.18125,37.526003,126.910953,113,177
104,104,경인로(서울교),D-28,1842.8944444444446,37.52019,126.91490300000001,107,181
105,105,여의대방로(여의교),D-29,1674.810416666667,37.516852,126.928374,104,194
106,106,양녕로(상도터널),D-30,1406.1096121416526,37.511204,126.953469,98,219
107,107,동작대로(총신대입구역),D-31,1706.7569444444446,37.494352,126.982914,81,249
108,108,문성로(난곡터널),D-32,313.49097222222224,37.479046000000004,126.924252,66,190
109,109,남부순환로(낙성대역),D-33,1854.666666666667,37.477711,126.96224199999999,65,228
110,110,남부순환로(예술의전당),D-34,1649.8638888888888,37.476405,127.00445,63,270
111,111,강남대로(강남역-신분당),D-35,1082.1854166666667,37.490590000000005,127.03116000000001,78,297
112,112,사평대로(고속터미널역),D-36,1680.8930555555555,37.503741999999995,127.007779,91,274
113,113,반포대로(서초역),D-37,1656.5680555555555,37.49624,127.005554,83,272
114,114,언주로(매봉터널),D-38,1202.885688568857,37.492009,127.047969,79,314
115,115,남부순환로(수서IC),D-39,1954.959722222222,37.495912,127.090903,83,356
116,116,헌릉로(세곡동사거리),D-40,1280.4830220713072,37.465092,127.105635,52,371
117,117,노들로,D-41,1163.2611111111114,37.529711999999996,126.90928100000001,117,175
118,118,테헤란로(선릉역),D-42,1087.1597222222224,37.505483,127.05213400000001,92,318
119,119,강남대로(신사역),D-43,1322.1337161607876,37.514859,127.020098,102,286
120,120,백제고분로(종합운동장),D-44,790.5333333333333,37.510639000000005,127.07855900000001,98,344
121,121,송파대로(송파역),D-45,1503.338888888889,37.500537,127.11144499999999,88,377
122,122,올림픽대로,F-01,4987.140277777778,37.506002,126.97375,93,240
123,123,강변북로,F-02,4678.485416666666,37.517004,126.973968,104,240
124,124,내부순환로,F-03,2850.1013888888892,37.608678999999995,126.998878,196,265
125,125,북부간선로,F-04,2222.276388888889,37.608556,127.052577,196,319
126,126,동부간선도로,F-05,2830.4846014492755,37.568684999999995,127.07602299999999,156,341
127,127,경부고속도로,F-06,4021.402474526929,37.493134999999995,127.02253300000001,80,289
128,128,분당수서로,F-07,2795.689340813464,37.497648,127.087195,85,353
129,129,강남순환로,F-08,1850.95,37.449096000000004,126.92616899999999,36,192
130,130,서부간선도로,F-09,1992.6506944444445,37.520965000000004,126.881826,108,148
